t1,t2,t3,t4,t5,t6,t7
-21, -24, -27, -28, -25, -23, -25
-58, -67, -73, -65, -54, -43, -38
-26, -19, -14, -20, -24, -13,   3
-30, -19, -17, -20, -18,  -5,   5
 0,   3,  -2, -11, -18, -23, -24
-9,  -9,  -9, -12, -17, -24, -26
-25, -23, -28, -26, -18, -12, -14
-25, -26, -26, -25, -22, -19, -23
-40, -54, -53, -30, -18, -20, -28
-12, -18, -17, -12, -14, -15, -14
-7,  -1,   3,   4,  -1,   1,   6
 0,   1,  -6, -12, -19, -21, -20
-8,  -7,   4,  21,  33,  31,  25
-25, -27, -25, -17, -17, -20, -20
-46, -45, -38, -23, -19, -17,  -4
-18, -17, -14, -12, -12, -13, -13
-47, -38, -40, -42, -43, -47, -51
-26, -24, -10,   0,  -2,  -6,  -3
-14,  -2,   8,  15,  16,   9,   1
-34, -31, -13,   9,   8,  -2,  -2
-19, -12,  -7,  -6,  -8, -11, -15
 1,   0,   4,  11,  15,  16,  17
-25, -21, -13, -11, -19, -30, -40
-37, -39, -33, -21,   2,   7, -15
-87, -93, -94, -77, -53, -46, -57
-8, -16, -16,  -9,  -8, -15, -19
-58, -63, -51, -40, -38, -39, -45
-88, -77, -57, -39, -43, -57, -51
-92, -76, -57, -42, -42, -55, -56
-66, -49, -39, -39, -37, -35, -43
-44, -38, -25, -20, -23, -30, -33
-47, -35, -17, -10, -17, -29, -37
-11,  -3,   4,   8,   8,   5,   4
-81, -77, -63, -47, -40, -46, -45
-49, -36, -25, -20, -21, -25, -32
-81, -83, -64, -39, -27, -31, -35
-35, -30, -29, -27, -30, -41, -53
-16, -14, -13,  -3,  -1,  -4,  -4
 2,   5,   8,  16,  19,  15,  16
-134,-116,-105, -96, -92, -94, -96
-23, -30, -35, -38, -38, -40, -45
-63, -46, -39, -31, -21, -23, -43
-61, -58, -51, -44, -46, -50, -44
-66, -58, -44, -36, -42, -51, -45
-25, -25, -24, -20, -16, -18, -26
-44, -60, -39,  -7,  -4, -12, -15
-30, -35, -35, -27, -22, -27, -37
-12, -12,  -8,  -2,  10,   9,   0
 0,  -6,  -4,   0,   1,   3,   8
-5,  -5,  -1,  -5, -10,  -6,   2
-5,  -3,  -2,   6,  15,  17,  15
-16, -11,  -4,   0,   4,  -1,   1
-11, -11,  -5,   2,   7,   5,  -1
-12, -13, -18, -20, -17, -16, -20
 4,  17,   3,   0,   7,   7,  -7
14,   9,  12,  26,  31,  19,  17
-20, -22, -10,  15,  23,  12,   8
-35, -32, -33, -38, -48, -53, -60
-7,  -2,   2,   3,   1,   0,  -4
-33, -28, -18, -12, -10,  -9, -17
-15, -16, -14,  -4,   0, -16, -40
-36, -34, -28, -18, -10, -16, -28
-31, -15, -11,  -7, -10, -33, -56
-22, -22, -15,  -7,  -8, -14, -13
-36, -24, -15, -19, -33, -46, -58
-15, -19, -21, -10,  -2,  -7, -15
-23, -22, -21, -15, -30, -28, -25
 4,  -3, -16, -20, -12,  -4,  -6
10,   9,   7,   8,  16,  17,   2
-13,  -3,   0,  -8, -18, -11, -12
-8,   1,   6,   3,  -1,  -1,  -7
 2,  12,  17,  22,  30,  24,   3
-50, -45, -36, -30, -22, -10,  -5
14,  25,  28,  31,  47,  48,  29
-35, -20, -48, -61,  -2,  23,  -7
-6,  -2,   7,  12,  11,   5,  -8
-17, -32, -46, -44, -36, -27, -38
-11,  -9,  -1,  -4, -16, -23, -29
-20, -13,  -7,  -7,  -9,  -7, -14
-39, -31, -17,  -8,  -6,  -4,  -9
 9,  12,  13,  17,  18,  15,   7
-46, -36, -34, -35, -42, -43, -18
-26, -20, -10,  -6,   3,  17,  12
-10,  -9,   6,  24,  35,  34,  35
14,  10,   9,  13,   3,  -8,   1
-12, -16, -16, -13, -15, -17, -10
-14, -17, -17, -13, -15, -18, -11
-12, -18, -19, -13, -14, -15,  -7
17, -12, -29, -15,   6,  17,  25
-33, -20, -19, -19, -27, -39, -40
-40, -28, -25, -18, -18, -25, -27
-9,  -8, -16, -15,  -6, -23, -40
-46, -42, -39, -38, -32, -33, -40
-10, -13, -26, -30, -21, -12, -21
-15, -21, -20,  -7,   1,  -1, -14
-32, -31, -27, -14,  -9, -12, -23
-45, -36, -36, -44, -36, -30, -45
-46, -41, -34, -24, -15, -11, -22
-38, -32, -32, -36, -34, -26, -26
-50, -43, -44, -42, -34, -21, -24
-43, -29, -24, -23, -20, -18, -28
-27, -23, -20, -16,  -8,  -4, -12
-19, -14,  -9,   2,  10,  15,  13
-19, -11, -11, -18, -26, -32, -54
-26, -18, -18, -14,  -5,  -2,  -9
-24, -26, -21, -13, -10, -10, -16
-34, -37, -40, -38, -37, -45, -49
-29, -23, -14,  -8, -11, -13, -21
